"RefDes","Value","Name","Pattern","Manufacturer","Quantity"
"AA, AB, AC, AD","","AD623ARZ-R7","SOIC-8/150mil","Analog Devices","4"
"C1, C14","0.1u","CAP_0805","CAP_0805","","2"
"C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, Caa, Cab, Cac, Cad","3.2u","CAP_0805","CAP_0805","","16"
"J1, J2","","1-644456-0","HDR-1x10T/2.54/25x2","TE Connectivity","2"
"J3, J4, J5, J6, J7, J8, J9, J10","","90131-0121","HDR-2x1T/2.54x2.54/3x5","Molex","8"
"R1, R2, R3, R4","1k","RES_0805","RES_0805","","4"
"R5, R6, R7, R8, R9, R10, R11, R12, R13","5k","RES_0805","RES_0805","","9"
"U1","","LM324AD","SOIC-14/150mil","Motorola","1"
"U2, U6","","AD5252BRUZ100","TSSOP-14","Analog Devices","2"
"U3","","AD5593RBRUZ","TSSOP-16","Analog Devices","1"
"","","","","","49"
